experiment,seed,window,accuracy,alert_level,cosine_drift,max_jsd,max_wasserstein
Covariate,2,11,0.8411138411138411,critical,0.0012484192848205566,0.06110873844856621,0.37299897793710846
Covariate,2,12,0.8390663390663391,critical,0.0010132193565368652,0.06342995539204185,0.39608073172281627
Covariate,2,13,0.8345618345618345,critical,0.0024977922439575195,0.06214052755621316,0.4136983583199011
Covariate,2,14,0.8370188370188371,critical,0.0016054511070251465,0.06809265003270215,0.40383685094082206
Covariate,2,15,0.825962325962326,critical,0.010508477687835693,0.10554243828100489,0.6924659173150398
Covariate,2,16,0.8378378378378378,critical,0.00971972942352295,0.09431565850522203,0.6772312641376057
Covariate,2,17,0.8247338247338247,critical,0.010911285877227783,0.09977387488784913,0.68912203514418
Covariate,2,18,0.8288288288288288,critical,0.010323762893676758,0.09854242254840945,0.7011446253437738
Covariate,2,19,0.8183306055646481,critical,0.010923445224761963,0.1015754159355421,0.6828763885007452
Covariate,3,1,0.8439803439803439,ok,0.00017517805099487305,0.0031597881373777426,0.043083447006029174
Covariate,3,2,0.852989352989353,ok,0.0011145472526550293,0.0028628519874950914,0.05981542288579727
Covariate,3,3,0.8394758394758395,ok,0.00025540590286254883,0.002927925596776124,0.040187255540177345
Covariate,3,4,0.8447993447993448,ok,0.00020253658294677734,0.002893390211664228,0.04399549802742365
Covariate,3,5,0.8493038493038493,warning,0.00025397539138793945,0.003781093180305134,0.03734043492320342
Covariate,3,6,0.8583128583128583,warning,0.000217437744140625,0.002565058786243706,0.03449735477266203
Covariate,3,7,0.8595413595413596,warning,0.0004069805145263672,0.0029335040792015186,0.03857147709222817
Covariate,3,8,0.8562653562653563,warning,0.0003771781921386719,0.0032653766366970262,0.06069404543225863
Covariate,3,9,0.8562653562653563,warning,0.00031495094299316406,0.0033669669008035957,0.036555433978476694
Covariate,3,10,0.8378378378378378,critical,0.0006082653999328613,0.053322771342389864,0.3051014883547352
Covariate,3,11,0.8284193284193284,critical,0.0011091232299804688,0.0621217747535561,0.3552235846225985
Covariate,3,12,0.8296478296478297,critical,0.0006932616233825684,0.06308655902933763,0.35893591078532494
Covariate,3,13,0.8312858312858313,critical,0.0005698800086975098,0.0608824791726731,0.33373012945117364
Covariate,3,14,0.821048321048321,critical,0.0005465149879455566,0.05986593176177902,0.3634369507533573
Covariate,3,15,0.8288288288288288,critical,0.005670428276062012,0.10445194402255137,0.5973349418947347
Covariate,3,16,0.8284193284193284,critical,0.0062378644943237305,0.1119014251821007,0.6352295376502766
Covariate,3,17,0.7952497952497952,critical,0.007179141044616699,0.1135049549757701,0.6253983198092444
Covariate,3,18,0.8202293202293203,critical,0.005165040493011475,0.11745220980615816,0.6053341884405984
Covariate,3,19,0.8191489361702128,critical,0.006051898002624512,0.11214709993821084,0.6353862286108612
Covariate,4,1,0.8419328419328419,ok,0.0005003809928894043,0.003726499592076522,0.07244013910337993
Covariate,4,2,0.8390663390663391,ok,0.0001748800277709961,0.003006579384252927,0.03919254438486335
Covariate,4,3,0.8435708435708436,ok,0.00021028518676757812,0.0035596267696119993,0.04587044139956349
Covariate,4,4,0.857084357084357,ok,0.00015693902969360352,0.0024275808951806487,0.03856105421494156
Covariate,4,5,0.8411138411138411,ok,0.00014346837997436523,0.0028579067816462494,0.055509652631930535
Covariate,4,6,0.846027846027846,ok,0.00024312734603881836,0.0027104404150641234,0.05129503165535707
Covariate,4,7,0.8521703521703522,warning,0.0003078579902648926,0.004535671451628035,0.04894156545785046
Covariate,4,8,0.864045864045864,warning,0.00045365095138549805,0.004459514498517841,0.06258635892762356
Covariate,4,9,0.8374283374283374,warning,0.00020498037338256836,0.003543789724387461,0.0694650591035121
Covariate,4,10,0.834971334971335,warning,0.0007787346839904785,0.10150329825904668,0.41493537106698436
Covariate,4,11,0.8423423423423423,warning,0.0004468560218811035,0.09758930401010225,0.38635534859150095
Covariate,4,12,0.8276003276003276,critical,0.0006685256958007812,0.09354009562893348,0.42604074091359745
Covariate,4,13,0.8341523341523341,critical,0.0006653666496276855,0.10046695894976233,0.42831357682200427
Covariate,4,14,0.8468468468468469,critical,0.000493466854095459,0.09817531236740731,0.4102632082272898
Covariate,4,15,0.8329238329238329,critical,0.004361867904663086,0.11207492382587056,0.7505124242743002
Covariate,4,16,0.8366093366093366,critical,0.005878806114196777,0.11909490103458661,0.7686675309351731
Covariate,4,17,0.8374283374283374,critical,0.004586338996887207,0.11331140625689022,0.7330887346588251
Covariate,4,18,0.8243243243243243,critical,0.005340278148651123,0.11648378867525576,0.781999036818349
Covariate,4,19,0.8334697217675942,critical,0.004539906978607178,0.10868521668891279,0.6860612575051681
Covariate,5,1,0.8370188370188371,ok,0.0004277229309082031,0.002618909362268486,0.0493508732393704
Covariate,5,2,0.8423423423423423,ok,0.0002932548522949219,0.003230943832208371,0.039224177758750214
Covariate,5,3,0.8452088452088452,ok,0.00044929981231689453,0.0032553599505868577,0.037872176572000114
Covariate,5,4,0.8558558558558559,ok,0.0003504157066345215,0.0025508180615576867,0.045317304551175816
Covariate,5,5,0.8591318591318591,ok,0.00024008750915527344,0.002736140399710452,0.0317997332427034
Covariate,5,6,0.8402948402948403,ok,0.00046139955520629883,0.003080316686764918,0.04592843869312784
Covariate,5,7,0.8427518427518428,warning,0.0003281235694885254,0.0035797207105920624,0.04305672529254832
Covariate,5,8,0.8484848484848485,warning,0.00030237436294555664,0.003023376987343053,0.031285480676404936
Covariate,5,9,0.8468468468468469,warning,0.00045365095138549805,0.003502568073350246,0.05466625083487305
Covariate,5,10,0.8476658476658476,warning,0.0003994107246398926,0.08357417241497125,0.3745434560890381
