experiment,window,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,cosine_drift_mean,max_jsd_mean,alert_rate
Perturbation (pooled),2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Perturbation (pooled),3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.08
Perturbation (pooled),4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.36
Perturbation (pooled),5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.4
Perturbation (pooled),6,0.8331203931203929,0.8302310744132372,0.8360097118275486,0.0003754806518554688,0.0032194225147733966,0.56
Perturbation (pooled),7,0.8170843570843571,0.8136597013374721,0.8205090128312421,0.00036402702331542967,0.003338165367853446,0.52
Perturbation (pooled),8,0.797166257166257,0.7949159737529357,0.7994165405795783,0.0003901052474975586,0.003159531063754705,0.56
Perturbation (pooled),9,0.7803112203112202,0.7775803488572338,0.7830420917652067,0.0004350805282592773,0.003261246095677077,0.64
Perturbation (pooled),10,0.7576904176904177,0.7541783026028142,0.7612025327780212,0.00043012619018554686,0.003429193200896849,0.72
Perturbation (pooled),11,0.7444717444717445,0.7415615367145171,0.7473819522289719,0.00048404455184936524,0.0031692498134827936,0.68
Perturbation (pooled),12,0.7333005733005733,0.7295606021274699,0.7370405444736767,0.0003230428695678711,0.00327320853364804,0.44
Perturbation (pooled),13,0.7176576576576578,0.7143690553036876,0.720946260011628,0.00046858310699462893,0.003213704791590933,0.56
Perturbation (pooled),14,0.694971334971335,0.6914943778945454,0.6984482920481246,0.00039309024810791016,0.0031802815476747004,0.48
Perturbation (pooled),15,0.6854873054873056,0.6817368571154572,0.6892377538591541,0.00033544301986694337,0.003159668305354904,0.48
Perturbation (pooled),16,0.6578050778050778,0.653285241895104,0.6623249137150516,0.00042583942413330076,0.003076960775949721,0.44
Perturbation (pooled),17,0.6530057330057331,0.6475535020070712,0.6584579640043949,0.0003394865989685059,0.003308144574393944,0.44
Perturbation (pooled),18,0.6211302211302211,0.6156314350703416,0.6266290071901006,0.0004004192352294922,0.003210028760489546,0.56
Perturbation (pooled),19,0.6156792144026187,0.6103230545894962,0.6210353742157413,0.0003560948371887207,0.003232988919172034,0.6
Perturbation (class-cond),1,0.8473546273546273,0.843666662234034,0.8510425924752206,0.00039928674697875977,0.0031828291344023056,0.0
Perturbation (class-cond),2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Perturbation (class-cond),3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.16
Perturbation (class-cond),4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.48
Perturbation (class-cond),5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.72
Perturbation (class-cond),6,0.8331203931203929,0.8302310744132372,0.8360097118275486,0.0003754806518554688,0.0032194225147733966,0.88
Perturbation (class-cond),7,0.8170843570843571,0.8136597013374721,0.8205090128312421,0.00036402702331542967,0.003338165367853446,0.92
Perturbation (class-cond),8,0.797166257166257,0.7949159737529357,0.7994165405795783,0.0003901052474975586,0.003159531063754705,0.92
Perturbation (class-cond),9,0.7803112203112202,0.7775803488572338,0.7830420917652067,0.0004350805282592773,0.003261246095677077,1.0
Perturbation (class-cond),10,0.7576904176904177,0.7541783026028142,0.7612025327780212,0.00043012619018554686,0.003429193200896849,1.0
Perturbation (class-cond),11,0.7444717444717445,0.7415615367145171,0.7473819522289719,0.00048404455184936524,0.0031692498134827936,1.0
Perturbation (class-cond),12,0.7333005733005733,0.7295606021274699,0.7370405444736767,0.0003230428695678711,0.00327320853364804,0.92
Perturbation (class-cond),13,0.7176576576576578,0.7143690553036876,0.720946260011628,0.00046858310699462893,0.003213704791590933,0.92
Perturbation (class-cond),14,0.694971334971335,0.6914943778945454,0.6984482920481246,0.00039309024810791016,0.0031802815476747004,0.84
Perturbation (class-cond),15,0.6854873054873056,0.6817368571154572,0.6892377538591541,0.00033544301986694337,0.003159668305354904,0.92
Perturbation (class-cond),16,0.6578050778050778,0.653285241895104,0.6623249137150516,0.00042583942413330076,0.003076960775949721,0.88
Perturbation (class-cond),17,0.6530057330057331,0.6475535020070712,0.6584579640043949,0.0003394865989685059,0.003308144574393944,0.92
Perturbation (class-cond),18,0.6211302211302211,0.6156314350703416,0.6266290071901006,0.0004004192352294922,0.003210028760489546,0.96
Perturbation (class-cond),19,0.6156792144026187,0.6103230545894962,0.6210353742157413,0.0003560948371887207,0.003232988919172034,0.92
Mixed,1,0.8473546273546273,0.843666662234034,0.8510425924752206,0.00039928674697875977,0.0031828291344023056,0.0
Mixed,2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Mixed,3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.08
Mixed,4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.36
